0,シルリアの樹槍,シルリアの渦,一定間隔で複数の輝剣を発生
1,シルリアの樹槍,シルリアの渦,"聖杯瓶の回復量上昇+13%
ガードカウンター強化+23%
瀕死時、最大HP低下-15%"
2,溶岩刀,溶岩撒き,雷カット率上昇+20%
3,百智の王笏,百智の世界,"属性攻撃力上昇+6%
攻撃命中時、FP回復+3
スタミナ低下時、カット率低下-10%"
4,トリーナの剣,眠りの霧,戦技の消費FP軽減-24%
5,儀仗の直剣,黄金の剣技,"刺突カウンター強化+10%
攻撃連続時、一度だけカット率上昇+60%
回避直後、カット率低下-15%"
6,血のヘリケー,王朝剣技,タメ攻撃命中時、雷攻撃が発生
7,冷たい氷殻斧,霜踏み,"戦技攻撃力上昇+21%
敵複数撃破で、冷気の霧を発生
状態異常による被ダメージ上昇+25%"
8,翼の鎌,天使の翼,"HP持続回復+1
敵複数撃破で、黄金の衝撃波を発生
聖杯瓶使用時、カット率低下-33%"
9,光輪のサイス,ミケラの光輪,両手持ちの攻撃力上昇+18%
10,王家のグレートソード,狼の襲撃,"強靭度上昇+20%
敵複数撃破で、冷気の霧を発生
夜が深まるほど被ダメージ増加+1"
11,貴腐騎士の槍,聖槍の壁,被ダメージ時、FP回復+6
12,シルリアの樹槍,シルリアの渦,"属性攻撃力上昇+6%
タメ攻撃命中時、聖攻撃が発生
HP最大未満時、アーツゲージ蓄積鈍化-10%"
13,ガーゴイルの黒両刃,回転斬り,"強靭度上昇+20%
連撃の最終攻撃強化+20%
瀕死時、最大HP低下-15%"
14,冷たい猛禽鉤爪,霜踏み,"刺突カウンター強化+10%
タメ攻撃強化+22%
最大FP低下-6%"
15,縋り付く手骨,命奪拳,冷気耐性上昇+112
16,秘文字の剣,防ぎ得ぬ刃,"聖攻撃力上昇+12%
魔術／祈祷の詠唱時、カット率上昇+30%
回避直後、カット率低下-15%"
17,ヴァイクの戦槍,狂い火突き,戦技攻撃力上昇+21%
18,黒王の大剣,黒王の斥力波,"物理カット率上昇+9%
両手持ちの攻撃力上昇+18%
状態異常による被ダメージ増加+25%"
19,溶岩鞭の燭台,溶岩の海,炎攻撃力上昇+12%
20,秘文字のパタ,防ぎ得ぬ刃,"聖攻撃力上昇+12%
魔術／祈祷の詠唱時、カット率上昇+30%
瀕死時、最大HP低下-15%"
