0,象牙の手鎌,クイックステップ,敵複数撃破で、魅了の霧を発生
0,長牙,二連斬り,戦技攻撃力上昇+18%
0,炎の祝祭大頭蓋,赤獅子の炎,両手持ちの攻撃力上昇+15%
0,雷の守人剣槍,落雷,"属性カット率上昇+9%
ガードカウンター強化+20%
すべての状態異常耐性低下-30"
0,クレイモア,巨人狩り,両手持ちの攻撃力上昇+15%
0,貴腐騎士の剣,牙突き,"刺突カウンター強化+10%
敵複数撃破で、魅了の霧を発生
回避直後、カット率低下-15%"
0,手持ちバリスタ,キック,聖カット率上昇+16%
0,神狩りの聖印,黒炎／黒炎の儀式,炎カット率上昇+16%
0,神聖な名家大盾,無敵,雷カット率上昇+16%
0,ガーゴイルの黒剣,死蝋斬り,"両手持ちの攻撃力上昇+18%
HP低下時、攻撃力上昇+17%
回避連続時、カット率低下-23%"
0,使者たちの笛,神託のシャボン,両手持ちの攻撃力上昇+18%
0,蛇弓,強射,致命の一撃強化+24%
0,滑車の弩,キック,"精密射撃で、着弾時に血蠅を発生
HP最大時、攻撃力上昇+14%
HP最大未満時、攻撃力低下-7%"
0,死王子の杖,怨霊呼び／爆ぜる霊炎,魔術／祈祷の詠唱時、カット率上昇+30%
1,象牙の手鎌,毒蛾は二度舞う,ガードを崩す力上昇+45%
1,二又の大剣,真空斬り,"スタミナ回復速度上昇+3
二刀持ちの攻撃力上昇+10%
夜が深まるほど被ダメージ増加+1"
1,炎の錆び付き錨,赤獅子の炎,敵複数撃破で、怨霊を呼ぶ
1,魔力の隕鉄刀,グラビタス,敵複数撃破で、溶岩を発生
1,炎のウォーピック,赤獅子の炎,被ダメージ時、カット率上昇+28%
1,ハープボウ,連続射撃,ガード成功時、カット率上昇+19%
1,ゴーレムの大弓,貫通射撃,連撃の最終攻撃強化+26%
1,月輪の弩,キック,HP低下時、攻撃力上昇+17%
1,巨人の聖印,巨人の火をくらえ／悪神の火,敵から狙われ難くなる-9
1,獣紋の黄金盾,突撃バッシュ,雷攻撃力上昇+9%
1,屍山血河,死屍累々,"聖杯瓶の回復で、FPも回復+20%
戦技攻撃力上昇+21%
物理カット率低下-8%"
1,黄金のハルバード,黄金樹に誓って,ガードを崩す力上昇+60%
1,血の蟻棘レイピア,血の徴収,"最大HP上昇+12%
攻撃命中時、HP回復+8
すべての状態異常耐性低下-45"
1,アズールの輝石杖,彗星アズール／ほうき星,"消費FP軽減-9%
魔術／祈祷、詠唱速度上昇+2
回避直後、カット率低下-15%"
2,クレイモア,巨人狩り,両手持ちの攻撃力上昇+15%
2,魔力の隕鉄刀,グラビタス,敵複数撃破で、溶岩を発生
2,夜騎兵のグレイブ,共撃の幻,二刀持ちの攻撃力上昇+15%
